Version,AUC,Precision,Recall
2.0.0,0.7970940053683171,0.724161494150425,0.3083028289845736
2.1.0,0.7731827190420643,0.7185700805393996,0.2711106989343789
2.2.0,0.758774208923837,0.661628256888987,0.17800334799817225
2.3.0,0.75054832762804,0.37646667221667224,0.1060597650645614
3.0.0,0.8946772601937285,0.9129481952016407,0.892079285991869
3.1.0,0.7355605323802924,0.5846761866960173,0.10847071205863398
