Key,Summary,Status,Priority,Affected Versions
HIVE-17720,Bitvectors are not shown in describe statement on beeline,Closed,Major,3.0.0
HIVE-17715,Exception when pushing postaggregates into Druid,Closed,Major,3.0.0
HIVE-17706,Add a possibility to run the BeeLine tests on the default database,Closed,Major,3.0.0
HIVE-17705,HIVE-17562 is returning incorrect results,Closed,Blocker,2.4.0
HIVE-17688,HIVE-17543 added an extra query14.q.out file. Remove it,Resolved,Major,3.0.0
HIVE-17682,Vectorization: IF stmt produces wrong results,Closed,Critical,"1.2.2, 2.3.0, 3.0.0"
HIVE-17679,http-generic-click-jacking for WebHcat server,Closed,Major,2.1.1
HIVE-17665,Update netty-all to latest 4.0.x.Final,Closed,Major,"2.4.0, 3.0.0"
HIVE-17664,Refactor and add new tests,Closed,Major,"2.1.0, 2.1.1, 2.2.0, 2.3.0"
HIVE-17659,get_token thrift call fails for DBTokenStore in remote HMS mode,Closed,Major,"2.1.0, 2.1.1, 2.2.0"
HIVE-17635,Add unit tests to CompactionTxnHandler and use PreparedStatements for queries,Closed,Major,3.0.0
HIVE-17633,Make it possible to override the query results directory in TestBeeLineDriver,Closed,Major,3.0.0
HIVE-17624,MapredLocakTask running in separate JVM could throw ClassNotFoundException ,Closed,Major,2.1.1
HIVE-17623,Fix Select query Fix Double column serde and some refactoring,Closed,Major,3.0.0
HIVE-17621,Hive-site settings are ignored during HCatInputFormat split-calculation,Closed,Major,"2.2.0, 3.0.0"
HIVE-17620,Use the default MR scratch directory (HDFS) in the only case when hive.blobstore.optimizations.enabled=true AND isFinalJob=true,Closed,Major,"2.2.0, 2.3.0, 3.0.0"
HIVE-17619,Exclude avatica-core.jar dependency from avatica shaded jar,Closed,Major,2.1.1
HIVE-17615,Task.executeTask has to be thread safe for parallel execution,Closed,Major,3.0.0
HIVE-17602,Explain plan not working,Closed,Critical,3.0.0
HIVE-17595,Correct DAG for updating the last.repl.id for a database during bootstrap load,Closed,Major,3.0.0
HIVE-17594,Unit format error in Copy.java,Closed,Minor,3.0.0
HIVE-17582,Followup of HIVE-15708,Closed,Major,3.0.0
HIVE-17576,Improve progress-reporting in TezProcessor,Closed,Major,"2.2.0, 2.4.0, 3.0.0"
HIVE-17574,Avoid multiple copies of HDFS-based jars when localizing job-jars,Resolved,Major,"2.2.0, 2.4.0, 3.0.0"
HIVE-17562,ACID 1.0 + ETL strategy should treat empty compacted files as uncovered deltas,Closed,Major,2.4.0
HIVE-17556,The test udf_mask_hash.q is failing,Closed,Major,3.0.0
HIVE-17554,Occurr java.lang.ArithmeticException: / by zero at hplsql component,Closed,Major,3.0.0
HIVE-17539,User impersonation failure is not propagated by server as a failure to client,Closed,Critical,3.0.0
HIVE-17530,ClassCastException when converting uniontype,Closed,Major,"1.1.0, 3.0.0"
HIVE-17512,Not use doAs if distcp privileged user same as user running hive,Closed,Minor,3.0.0
HIVE-17510,Make comparison of filter predicates in q files deterministic,Closed,Major,3.0.0
HIVE-17501,Hive should allow default Tez sessions to be skipped,Resolved,Major,"2.1.1, 2.2.0"
HIVE-17485,Hive-Druid table on indexing for few segments- DruidRecordWriter.pushSegments throws ArrayIndexOutOfBoundsException,Closed,Major,3.0.0
HIVE-17479,Staging directories do not get cleaned up for update/delete queries,Closed,Major,3.0.0
HIVE-17472,"Drop-partition for multi-level partition fails, if data does not exist.",Closed,Major,"2.2.0, 3.0.0"
HIVE-17469,The HiveMetaStoreClient should randomize the connection to HMS HA,Resolved,Major,2.1.1
HIVE-17464,Fix to be able to disable max shuffle size DHJ config,Closed,Major,3.0.0
HIVE-17463,ORC: include orc-shims in hive-exec.jar,Closed,Minor,3.0.0
HIVE-17460,`insert overwrite` should support table schema evolution (e.g. add columns),Closed,Major,"2.1.0, 2.2.0"
HIVE-17457,IOW Acid Insert Overwrite when the transaction fails,Closed,Major,3.0.0
HIVE-17453,Missing ASF headers 2 classes,Closed,Trivial,3.0.0
HIVE-17429,Hive JDBC doesn't return rows when querying Impala,Closed,Major,"2.1.0, 2.2.0, 2.3.0, 2.3.1, 2.3.2"
HIVE-17420,bootstrap - get replid before object dump,Closed,Major,3.0.0
HIVE-17419,ANALYZE TABLE...COMPUTE STATISTICS FOR COLUMNS command shows computed stats for masked tables,Closed,Major,3.0.0
HIVE-17417,LazySimple Timestamp is very expensive,Closed,Critical,"2.4.0, 3.0.0"
HIVE-17410,repl load task during subsequent DAG generation does not start from the last partition processed,Closed,Major,3.0.0
HIVE-17406,UDAF throws IllegalArgumentException for a complex input when column stats is not provided,Resolved,Minor,2.3.0
HIVE-17403,Fail concatenation for unmanaged and transactional tables,Closed,Blocker,"1.3.0, 2.4.0, 3.0.0"
HIVE-17395,"HiveServer2 parsing a command with a lot of ""(""",Resolved,Major,2.3.0
HIVE-17394,AvroSerde is regenerating TypeInfo objects for each nullable Avro field for every row,Closed,Major,"1.1.0, 3.0.0"
HIVE-17392,SharedWorkOptimizer might merge TS operators filtered by not equivalent semijoin operators,Closed,Major,3.0.0
HIVE-17391,Compaction fails if there is an empty value in tblproperties,Closed,Major,"2.2.0, 2.3.0"
HIVE-17389,Yetus is always failing on rat checks,Closed,Trivial,3.0.0
HIVE-17378,CBO: HiveReduceExpressionsWithStatsRule can operate on IS_NULL and IS_NOT_NULL,Closed,Major,3.0.0
HIVE-17377,SharedWorkOptimizer might not iterate through TS operators deterministically,Closed,Major,3.0.0
HIVE-17368,DBTokenStore fails to connect in Kerberos enabled remote HMS environment,Closed,Major,"1.1.0, 2.0.0, 2.1.0, 2.2.0"
HIVE-17367,IMPORT table doesn't load from data dump if a metadata-only dump was already imported.,Closed,Major,3.0.0
HIVE-17365,Druid CTAS should support CHAR/VARCHAR type,Closed,Major,3.0.0
HIVE-17357,Plugin jars are not properly added for LocalHiveSparkClient,Closed,Major,3.0.0
HIVE-17353,The ResultSets are not accessible if running multiple queries within the same HiveStatement ,Resolved,Major,3.0.0
HIVE-17352,"HiveSever2 error with ""Illegal Operation state transition from CLOSED to FINISHED""",Closed,Major,"2.1.1, 2.2.0"
HIVE-17348,Remove unnecessary GenSparkUtils.java.orig file,Closed,Major,3.0.0
HIVE-17336,Missing class 'org.apache.hadoop.hive.hbase.HiveHBaseTableInputFormat' from Hive on Spark when inserting into hbase based table,Closed,Major,3.0.0
HIVE-17333,Schema changes in HIVE-12274 for Oracle may not work for upgrade,Closed,Major,3.0.0
HIVE-17322,Serialise BeeLine qtest execution to prevent flakyness,Closed,Minor,3.0.0
HIVE-17309,alter partition onto a table not in current database throw InvalidOperationException,Closed,Major,"1.2.2, 2.1.1, 2.2.0"
HIVE-17305,New insert overwrite dynamic partitions qtest need to have the golden file regenerated,Closed,Trivial,3.0.0
HIVE-17298,export when running distcp for large number of files should not run as privileged user ,Closed,Major,3.0.0
HIVE-17293,ETL split strategy not accounting for empty base and non-empty delta buckets,Resolved,Critical,"1.3.0, 2.4.0, 3.0.0"
HIVE-17286,Avoid expensive String serialization/deserialization for bitvectors,Closed,Major,3.0.0
HIVE-17285,Fixes for bit vector retrievals and merging,Closed,Major,3.0.0
HIVE-17279,spark/bin/beeline throws Unknown column 'A0.IS_REWRITE_ENABLED' in 'field list',Resolved,Major,2.1.0
HIVE-17276,Check max shuffle size when converting to dynamically partitioned hash join,Closed,Major,3.0.0
HIVE-17275,Auto-merge fails on writes of UNION ALL output to ORC file with dynamic partitioning,Closed,Major,2.2.0
HIVE-17274,RowContainer spills for timestamp column throws exception,Closed,Major,"1.3.0, 2.4.0, 3.0.0"
HIVE-17272,"when hive.vectorized.execution.enabled is true, query on empty partitioned table fails with NPE",Closed,Major,2.1.1
HIVE-17270,Qtest results show wrong number of executors,Closed,Major,3.0.0
HIVE-17265,Cache merged column stats from retrieved partitions,Closed,Major,3.0.0
HIVE-17240,Function ACOS(2) and ASIN(2) should be null,Closed,Major,"1.1.1, 1.2.2, 2.2.0"
HIVE-17233,"Set ""mapred.input.dir.recursive"" for HCatInputFormat-based jobs.",Closed,Major,"2.2.0, 3.0.0"
HIVE-17220,Bloomfilter probing in semijoin reduction is thrashing L1 dcache,Closed,Major,3.0.0
HIVE-17218,"Canonical-ize hostnames for Hive metastore, and HS2 servers.",Closed,Major,"1.2.2, 2.2.0, 3.0.0"
HIVE-17201,(Temporarily) Disable failing tests in TestHCatClient,Resolved,Major,3.0.0
HIVE-17189,Fix backwards incompatibility in HiveMetaStoreClient,Closed,Major,2.1.1
HIVE-17188,ObjectStore runs out of memory for large batches of addPartitions().,Closed,Major,2.2.0
HIVE-17181,HCatOutputFormat should expose complete output-schema (including partition-keys) for dynamic-partitioning MR jobs,Closed,Major,"2.2.0, 3.0.0"
HIVE-17169,Avoid extra call to KeyProvider::getMetadata(),Closed,Major,3.0.0
HIVE-17163,Microbenchmark for vector op processing,Resolved,Major,3.0.0
HIVE-17158,BeeLine Query Log and Query Result print order is not defined,Resolved,Major,3.0.0
HIVE-17155,findConfFile() in HiveConf.java has some issues with the conf path,Closed,Minor,"2.3.7, 3.0.0"
HIVE-17150,CREATE INDEX execute HMS out-of-transaction listener calls inside a transaction,Closed,Major,2.3.0
HIVE-17149,Hdfs directory is not cleared if partition creation failed on HMS,Closed,Major,3.0.0
HIVE-17148,Incorrect result for Hive join query with COALESCE in WHERE condition,Closed,Major,2.1.1
HIVE-17147,Vectorization: Add code for testing MapJoin operator in isolation and measuring its performance with JMH,Closed,Critical,3.0.0
HIVE-17144,export of temporary tables not working and it seems to be using distcp rather than filesystem copy,Closed,Major,3.0.0
HIVE-17126,Hive Metastore is incompatible with MariaDB 10.x,Resolved,Major,"1.1.0, 1.2.0, 2.0.0"
HIVE-17109,Remove calls to RelMetadataQuery.instance() after Calcite 1.13 upgrade,Closed,Major,3.0.0
HIVE-17098,Race condition in Hbase tables,Closed,Critical,2.1.1
HIVE-17088,HS2 WebUI throws a NullPointerException when opened,Closed,Major,3.0.0
HIVE-17086,LLAP: JMX Metric for max file descriptors used so far,Closed,Major,3.0.0
HIVE-17085,ORC file merge/concatenation should do full schema check,Closed,Major,"2.2.0, 2.3.0, 3.0.0"
HIVE-17079,LLAP: Use FQDN by default for work submission,Closed,Major,3.0.0
HIVE-17073,Incorrect result with vectorization and SharedWorkOptimizer,Closed,Major,3.0.0
HIVE-17069,Refactor OrcRawRecrodMerger.ReaderPair,Closed,Major,3.0.0
HIVE-17068,HCatalog: Add parquet support,Resolved,Major,3.0.0
HIVE-17067,LLAP: Add http endpoint to provide system level configurations,Closed,Major,3.0.0
HIVE-17063,insert overwrite partition onto a external table fail when drop partition first,Resolved,Major,"1.2.2, 2.1.1, 2.2.0"
HIVE-17052,Remove logging of predicate filters,Closed,Major,3.0.0
HIVE-17002,decimal (binary) is not working when creating external table for hbase,Closed,Major,2.1.1
HIVE-16983,getFileStatus on accessible s3a://[bucket-name]/folder: throws com.amazonaws.services.s3.model.AmazonS3Exception: Forbidden (Service: Amazon S3; Status Code: 403; Error Code: 403 Forbidden;,Resolved,Major,2.1.1
HIVE-16960,Hive throws an ugly error exception when HDFS sticky bit is set,Closed,Critical,3.0.0
HIVE-16958,Setting hive.merge.sparkfiles=true will retrun an error when generating parquet databases ,Closed,Major,"2.2.0, 2.3.0"
HIVE-16943,MoveTask should separate src FileSystem from dest FileSystem ,Closed,Major,3.0.0
HIVE-16942,INFORMATION_SCHEMA: schematool for setting it up is not idempotent,Closed,Major,3.0.0
HIVE-16939,metastore error: 'export: -Dproc_metastore : not a valid identifier',Closed,Major,"2.3.0, 2.3.1, 2.3.2, 3.0.0"
HIVE-16937,INFORMATION_SCHEMA usability: everything is currently a string,Closed,Major,3.0.0
HIVE-16928,LLAP: Slider takes down all daemons when some daemons fail repeatedly,Resolved,Major,3.0.0
HIVE-16927,LLAP: Slider takes down all daemons when some daemons fail repeatedly,Closed,Major,3.0.0
HIVE-16920,remove useless uri.getScheme() from EximUtil,Closed,Major,3.0.0
HIVE-16918,Skip ReplCopyTask distcp for _metadata copying. Also enable -pb for distcp,Closed,Major,3.0.0
HIVE-16910,RpcConfiguration - Improper Cast From Long To Int,Closed,Minor,"2.1.1, 3.0.0"
HIVE-16907," ""INSERT INTO""  overwrite old data when destination table encapsulated by backquote ",Closed,Major,"1.1.0, 2.1.1"
HIVE-16902,"investigate ""failed to remove operation log"" errors",Closed,Major,3.0.0
HIVE-16898,Validation of source file after distcp in repl load ,Closed,Major,3.0.0
HIVE-16888,Upgrade Calcite to 1.13 and Avatica to 1.10,Closed,Major,3.0.0
HIVE-16886,HMS log notifications may have duplicated event IDs if multiple HMS are running concurrently,Closed,Major,"2.3.2, 2.3.3, 3.0.0"
HIVE-16877,NPE when issue query like alter table ... cascade onto non-partitioned table ,Closed,Major,"1.2.1, 2.1.1"
HIVE-16872,Vectorization: Support avg() UDAF in complete mode ,Resolved,Major,"2.1.1, 3.0.0"
HIVE-16846,TestJdbcWithMiniHS2#testHttpHeaderSize test case is not testing in HTTP mode,Closed,Major,3.0.0
HIVE-16845,INSERT OVERWRITE a table with dynamic partitions on S3 fails with NPE,Closed,Major,2.1.1
HIVE-16839,Unbalanced calls to openTransaction/commitTransaction when alter the same partition concurrently,Closed,Major,"0.13.1, 1.1.0, 2.3.4, 3.0.0"
HIVE-16832,duplicate ROW__ID possible in multi insert into transactional table,Closed,Critical,2.2.0
HIVE-16828,"With CBO enabled, Query on partitioned views throws IndexOutOfBoundException",Closed,Major,"1.2.0, 2.1.1, 2.2.0"
HIVE-16826,Improvements for SeparatedValuesOutputFormat,Closed,Minor,"2.1.1, 3.0.0"
HIVE-16821,Vectorization: support Explain Analyze in vectorized mode,Closed,Minor,"2.1.1, 3.0.0"
HIVE-16801,Vectorization: throwExpandError should be an immediate fatal ,Closed,Major,2.1.1
HIVE-16793,Scalar sub-query: sq_count_check not required if gby keys are constant,Closed,Major,3.0.0
HIVE-16776,Strange cast behavior for table backed by druid,Closed,Major,3.0.0
HIVE-16769,Possible hive service startup due to the existing file /tmp/stderr,Closed,Major,2.0.0
HIVE-16768,NOT operator returns NULL from result of <=>,Resolved,Major,2.1.1
HIVE-16760,Update errata.txt for HIVE-16743,Resolved,Major,3.0.0
HIVE-16756,"Vectorization: LongColModuloLongColumn throws ""java.lang.ArithmeticException: / by zero""",Closed,Critical,2.3.0
HIVE-16743,BitSet set() is incorrectly used in TxnUtils.createValidCompactTxnList(),Closed,Major,3.0.0
HIVE-16738,Notification ID generation in DBNotification might not be unique across HS2 instances.,Closed,Major,3.0.0
HIVE-16737,LLAP: Shuffle handler TCP listen queue overflows,Closed,Major,3.0.0
HIVE-16708,Exception while renewing a Delegation Token,Closed,Major,2.3.2
HIVE-16698,HoS should avoid mapjoin optimization in case of union and using table stats,Closed,Major,3.0.0
HIVE-16693,"beeline ""source"" command freezes if you have a comment in it?",Closed,Major,3.0.0
HIVE-16683,ORC WriterVersion gets ArrayIndexOutOfBoundsException on newer ORC files,Closed,Major,"2.1.1, 2.2.0"
HIVE-16680,explainanalyze_3.q and explainuser_3.q (MiniTezCliDriver) failing,Resolved,Major,3.0.0
HIVE-16678,"Truncate on temporary table fails with ""table not found"" error.",Closed,Major,3.0.0
HIVE-16677,CTAS with no data fails in Druid,Closed,Major,3.0.0
HIVE-16658,TestTimestampTZ.java has missed the ASF header,Closed,Minor,3.0.0
HIVE-16654,"Optimize a combination of avg(), sum(), count(distinct) etc",Closed,Major,2.0.0
HIVE-16645,Commands.java has missed the catch statement and has some code format errors,Closed,Minor,3.0.0
HIVE-16640,The ASF Headers have some errors in some class,Closed,Minor,3.0.0
HIVE-16625,"Extra '\0' characters in the output, when SeparatedValuesOutputFormat is used and the quoting is disabled",Closed,Major,3.0.0
HIVE-16603,Enforce foreign keys to refer to primary keys or unique keys,Closed,Major,3.0.0
HIVE-16584,Warning messages should use LogHelper.printInfo instead of printing to the infoStream directly,Closed,Major,3.0.0
HIVE-16577,Syntax error in the metastore init scripts for mssql,Closed,Blocker,"2.2.0, 2.3.0, 2.4.0, 3.0.0"
HIVE-16554,ACID: Make HouseKeeperService threads daemon,Closed,Major,"2.0.1, 2.1.1"
HIVE-16546,LLAP: Fail map join tasks if hash table memory exceeds threshold,Closed,Major,3.0.0
HIVE-16539,Add PTF tests for blobstores,Closed,Major,2.1.1
HIVE-16538,TestExecDriver fails if run after TestOperators#testScriptOperator,Closed,Minor,3.0.0
HIVE-16533,Vectorization: Avoid evaluating empty groupby keys,Closed,Major,"2.1.1, 3.0.0"
HIVE-16524,Remove the redundant item type in hiveserver2.jsp and QueryProfileTmpl.jamon,Closed,Minor,3.0.0
HIVE-16507,"Hive Explain User-Level may print out ""Vertex dependency in root stage"" twice",Closed,Major,"2.0.0, 2.2.0, 2.3.0"
HIVE-16491,CBO cant handle join involving complex types in on condition,Closed,Major,2.3.0
HIVE-16487,Serious Zookeeper exception is logged when a race condition happens,Closed,Major,3.0.0
HIVE-16480,ORC file with empty array<double> and array<float> fails to read,Resolved,Major,"2.1.1, 2.2.0"
HIVE-16465,NullPointer Exception when enable vectorization for Parquet file format,Closed,Critical,2.2.0
HIVE-16451,Race condition between HiveStatement.getQueryLog and HiveStatement.runAsyncOnServer,Closed,Major,3.0.0
HIVE-16450,Some metastore operations are not retried even with desired underlining exceptions,Closed,Major,2.0.0
HIVE-16436,"Response times in ""Task Execution Summary"" at the end of the job is not correct",Closed,Major,3.0.0
HIVE-16421,Runtime filtering breaks user-level explain,Closed,Major,2.1.0
HIVE-16413,Create table as select does not check ownership of the location,Closed,Major,"1.2.2, 1.3.0, 2.1.1"
HIVE-16409,TestEventHandlerFactory  has lacked the ASF header,Closed,Minor,3.0.0
HIVE-16404,Renaming of public classes in Calcite 12 breeaking druid integration,Closed,Major,2.2.0
HIVE-16393,Fix visibility of CodahaleReporter interface,Closed,Major,3.0.0
HIVE-16388,"LLAP: Log rotation for daemon, history and gc files",Closed,Major,3.0.0
HIVE-16385,StatsNoJobTask could exit early before all partitions have been processed,Closed,Major,"2.0.0, 2.1.0"
HIVE-16384,Remove jdk7 build from travis,Closed,Trivial,3.0.0
HIVE-16380,removing global test dependency of jsonassert,Closed,Minor,3.0.0
HIVE-16357,Failed folder creation when creating a new table is reported incorrectly,Closed,Minor,"2.3.0, 3.0.0"
HIVE-16347,HiveMetastoreChecker should skip listing partitions which are not valid when hive.msck.path.validation is set to skip or ignore,Closed,Minor,2.2.0
HIVE-16335,Beeline user HS2 connection file should use /etc/hive/conf instead of /etc/conf/hive,Closed,Major,"2.1.1, 2.2.0"
HIVE-16333,"remove the redundant symbol ""\"" to appear red in sublime text 3",Closed,Minor,"2.2.0, 3.0.0"
HIVE-16329,TopN: use local executor info for LLAP memory checks,Closed,Major,"2.2.0, 3.0.0"
HIVE-16316,Prepare master branch for 3.0.0 development.,Closed,Major,3.0.0
HIVE-16310,Get the output operators of Reducesink when vectorization is on,Resolved,Major,2.3.0
HIVE-16301,Preparing for 2.3 development.,Resolved,Blocker,2.3.0
HIVE-16299,MSCK REPAIR TABLE should enforce partition key order when adding unknown partitions,Closed,Minor,2.2.0
HIVE-16287,Alter table partition rename with location - moves partition back to hive warehouse,Closed,Minor,2.1.0
HIVE-16282,Semijoin: Disable slow-start for the bloom filter aggregate task,Closed,Major,2.2.0
HIVE-16274,Support tuning of NDV of columns using lower/upper bounds,Resolved,Major,2.1.0
HIVE-16254,metadata for values temporary tables for INSERTs are getting replicated during bootstrap,Closed,Major,2.2.0
HIVE-16239,remove useless hiveserver,Resolved,Major,"2.0.1, 2.1.1"
HIVE-16219,metastore notification_log contains serialized message with  non functional fields,Closed,Major,2.2.0
HIVE-16208,Vectorization: ProcessingModeHashAggregate::sumBatchSize is never reset,Resolved,Minor,2.2.0
HIVE-16193,Hive show compactions not reflecting the status of the application,Closed,Major,2.2.0
HIVE-16190,Support expression in merge statement,Resolved,Major,2.2.0
HIVE-16187,Flaky Tests:TestHostAffinitySplitLocationProvider#testConsistentHashingFallback usually timed out,Resolved,Major,2.2.0
HIVE-16180,LLAP: Native memory leak in EncodedReader,Resolved,Critical,2.2.0
HIVE-16174,Update MetricsConstant.WAITING_COMPILE_OPS metric when we aquire lock failed in Driver,Closed,Minor,2.2.0
HIVE-16165,use database broken on master,Resolved,Blocker,2.2.0
HIVE-16163,Remove unnecessary parentheses in HiveParser,Resolved,Major,2.1.0
HIVE-16155,No need for ConditionalTask if no conditional map join is created,Resolved,Minor,2.1.1
HIVE-16150,LLAP: HiveInputFormat:getRecordReader: Fix log statements to reduce memory pressure,Resolved,Major,2.2.0
HIVE-16141,SQL auth whitelist configs should have a config for appending to existing list,Resolved,Major,"1.3.0, 2.1.1, 2.2.0"
HIVE-16117,SortProjectTransposeRule should check for monotonicity preserving CAST,Closed,Major,2.2.0
HIVE-16113,PartitionPruner::removeNonPartCols needs to handle AND/OR cases,Closed,Major,"1.2.1, 2.1.1, 2.2.0"
HIVE-16109,TestDbTxnManager generates a huge hive.log,Resolved,Major,2.2.0
HIVE-16107,JDBC: HttpClient should retry one more time on NoHttpResponseException,Resolved,Major,"2.0.1, 2.1.1"
HIVE-16106,Upgrade to Datanucleus 4.2.12,Resolved,Major,2.1.1
HIVE-16103,LLAP: Scheduler timeout monitor never stops with slot nodes,Resolved,Major,2.2.0
HIVE-16102,Grouping sets do not conform to SQL standard,Resolved,Critical,"1.3.0, 2.2.0"
HIVE-16101,QTest failure BeeLine escape_comments after HIVE-16045,Resolved,Minor,2.2.0
HIVE-16100,Dynamic Sorted Partition optimizer loses sibling operators,Closed,Major,"1.2.1, 2.1.1, 2.2.0"
HIVE-16094,queued containers may timeout if they don't get to run for a long time,Closed,Critical,2.2.0
HIVE-16087,Remove multi append of log4j.configurationFile in hive script,Resolved,Trivial,2.2.0
HIVE-16074,Parser can not deal with complex sql,Resolved,Major,2.1.1
HIVE-16072,LLAP: Add some additional jvm metrics for hadoop-metrics2 ,Resolved,Major,2.2.0
HIVE-16070,fix nonReserved list in IdentifiersParser.g,Resolved,Major,2.2.0
HIVE-16061,"When hive.async.log.enabled is set to true, some output is not printed to the beeline console",Closed,Major,2.1.1
HIVE-16057,SchemaTool ignores --passWord argument if hadoop.security.credential.provider.path is configured,Closed,Major,2.2.0
HIVE-16054,AMReporter should use application token instead of ugi.getCurrentUser,Resolved,Major,2.2.0
HIVE-16050,Regression: Union of null with non-null ,Closed,Major,2.2.0
HIVE-16043,TezConfiguration.TEZ_QUEUE_NAME instead of tez.queue.name,Resolved,Major,2.2.0
HIVE-16034,Hive/Druid integration: Fix type inference for Decimal DruidOutputFormat,Closed,Major,2.2.0
HIVE-16033,LLAP: Use PrintGCDateStamps for gc logging,Closed,Major,2.2.0
HIVE-16028,Fail UPDATE/DELETE/MERGE queries when Ranger authorization manager is used,Closed,Major,2.2.0
HIVE-16024,MSCK Repair Requires nonstrict hive.mapred.mode,Resolved,Major,2.2.0
HIVE-16023,Wrong estimation for number of rows generated by IN expression,Closed,Major,2.2.0
HIVE-16013,Fragments without locality can stack up on nodes,Closed,Major,2.2.0
HIVE-16007,When the query does not complie the LogRunnable never stops,Closed,Major,2.2.0
HIVE-15999,Fix flakiness in TestDbTxnManager2,Closed,Major,2.2.0
HIVE-15995,Syncing metastore table with serde schema,Closed,Major,"1.2.1, 2.1.0, 3.0.0"
HIVE-15994,Grouping function error when grouping sets are not specified,Closed,Major,2.2.0
HIVE-15992,LLAP: NPE in LlapTaskCommunicator.getCompletedLogsUrl for unsuccessful attempt,Resolved,Minor,2.2.0
HIVE-15990,Always initialize connection properties in DruidSerDe,Closed,Critical,2.2.0
HIVE-15971,LLAP: logs urls should use daemon container id instead of fake container id,Closed,Major,2.2.0
HIVE-15960,LLAP: Known app masters should be cleaned on queryComplete,Resolved,Major,2.2.0
HIVE-15958,LLAP: IPC connections are not being reused for umbilical protocol,Closed,Major,2.2.0
HIVE-15956,StackOverflowError when drop lots of partitions,Closed,Major,"1.3.0, 2.2.0"
HIVE-15951,Make sure base persist directory is unique and deleted,Closed,Critical,2.2.0
HIVE-15934,Downgrade Maven surefire plugin from 2.19.1 to 2.18.1,Resolved,Major,2.2.0
HIVE-15924,move ORC PPD failure message caused by a dynamic value to DEBUG level,Resolved,Major,2.2.0
HIVE-15922,SchemaEvolution must guarantee that getFileIncluded is not null,Resolved,Major,2.1.1
HIVE-15914,Fix issues with druid-handler pom file,Closed,Major,2.2.0
HIVE-15906,thrift code regeneration to include new protocol version,Closed,Critical,2.2.0
HIVE-15903,Compute table stats when user computes column stats,Resolved,Major,"2.1.0, 2.1.1"
HIVE-15902,Select query involving date throwing Hive 2 Internal error: unsupported conversion from type: date,Closed,Major,2.1.0
HIVE-15900,Beeline prints tez job progress in stdout instead of stderr,Closed,Major,2.2.0
HIVE-15891,Detect query rewrite scenario for UPDATE/DELETE/MERGE and fail fast,Closed,Major,2.2.0
HIVE-15886,LLAP: Provide logs URL for in-progress and completed task attemtps,Closed,Major,2.2.0
HIVE-15877,Upload dependency jars for druid storage handler,Closed,Major,2.2.0
HIVE-15874,Invalid position alias in Group By when CBO failed ,Closed,Major,"1.2.1, 2.1.1"
HIVE-15867,Add blobstore tests for import/export,Resolved,Major,2.1.1
HIVE-15863,"Calendar inside DATE, TIME and TIMESTAMP literals for Calcite should have UTC timezone",Resolved,Major,2.2.0
HIVE-15862,"beeline always have a warning ""Hive does not support autoCommit=false""",Resolved,Major,2.1.0
HIVE-15859,HoS: Write RPC messages in event loop,Resolved,Major,2.1.1
HIVE-15855,throws NPE when using Hplsql UDF,Resolved,Major,2.2.0
HIVE-15850,Proper handling of timezone in Druid storage handler,Closed,Critical,2.2.0
HIVE-15849,hplsql should add enterGlobalScope func to UDF,Resolved,Major,2.2.0
HIVE-15847,In Progress update refreshes seem slow,Resolved,Major,2.2.0
HIVE-15827,LLAP: status tool breaks out of watch mode when live instances is 0,Closed,Critical,2.2.0
HIVE-15822,beeline ignore all sql under comment after semicolon,Resolved,Major,"1.2.1, 2.1.1"
HIVE-15820,comment at the head of beeline -e,Closed,Major,"1.2.1, 2.1.1"
HIVE-15811,Disable SARG leaf creation for timestamp column until ORC-135,Resolved,Major,2.1.1
HIVE-15809,Typo in the PostgreSQL database name for druid service,Resolved,Trivial,2.2.0
HIVE-15807,MSCK operation hangs in HiveMetaStoreChecker.checkPartitionDirs,Resolved,Major,2.2.0
HIVE-15806,Druid schema inference for Select queries might produce wrong type for metrics,Closed,Major,2.2.0
HIVE-15804,Druid handler might not recognize correct column type when CBO fails,Closed,Major,2.2.0
HIVE-15782,query on parquet table returns incorrect result when hive.optimize.index.filter is set to true ,Resolved,Major,2.2.0
HIVE-15778,DROP INDEX (non-existent) throws NPE when using DbNotificationListener ,Resolved,Major,2.1.1
HIVE-15769,Support view creation in CBO,Closed,Major,"2.0.0, 2.1.0"
HIVE-15767,Hive On Spark is not working on secure clusters from Oozie,Closed,Major,"1.2.1, 2.1.1"
HIVE-15766,DBNotificationlistener leaks JDOPersistenceManager,Resolved,Major,"2.0.0, 2.1.1"
HIVE-15760,TezCompiler throws ConcurrentModificationException during cycle detection,Closed,Critical,2.2.0
HIVE-15756,Update/deletes on ACID table throws ArrayIndexOutOfBoundsException,Resolved,Critical,2.0.0
HIVE-15754,exchange partition is not generating notifications,Resolved,Critical,2.2.0
HIVE-15752,MSCK should add output WriteEntity for table in semantic analysis,Closed,Major,"1.2.0, 1.2.1, 2.0.0, 2.1.0, 2.1.1"
HIVE-15750,Fail schema discovery when two columns have similar names with different casing in Druid,Closed,Major,2.2.0
HIVE-15746,Fix default delimiter2 in str_to_map UDF or in method description,Resolved,Trivial,2.1.1
HIVE-15739,Incorrect exception message in PartExprEvalUtils,Closed,Minor,2.2.0
HIVE-15686,Partitions on Remote HDFS break encryption-zone checks,Resolved,Major,2.2.0
HIVE-15685,count(distinct) generates different result than expected,Closed,Major,2.2.0
