Key,Summary,Status,Priority,Affected Versions
HIVE-26775,Backport HIVE-20213: Upgrade Calcite to 1.19.0,Resolved,Major,3.1.3
HIVE-26767,Support for custom RDBMS is broken,Closed,Minor,4.0.0
HIVE-26669,Hive Metastore become unresponsive,Resolved,Critical,3.1.0
HIVE-26664,Method defaultValueString return wrong result in HiveConf class enum VarType,Resolved,Minor,"3.1.2, 4.0.0-alpha-1"
HIVE-26663,Method defaultValueString return wrong result in HiveConf class enum VarType,Resolved,Minor,"3.1.2, 4.0.0-alpha-1"
HIVE-26568,Upgrade Log4j2 to 2.18.0 due to CVEs,Closed,Major,3.1.2
HIVE-26544,Hive-3.0 build failed with artifact javax.jms:jms:jar:1.1 not found,Resolved,Minor,3.0.0
HIVE-26530,HS2 OOM-OperationManager.queryIdOperation does not properly clean up multiple queryIds,Resolved,Major,3.1.2
HIVE-26522,Test for HIVE-22033 and backport to 3.1 and 2.3,Closed,Major,"2.3.8, 3.1.3"
HIVE-26508,Remove netty transitive dependencies from hcatalog and hbase pom files to avoid CVEs,Resolved,Major,"4.0.0, 4.0.0-alpha-1, 4.0.0-alpha-2"
HIVE-26434,HMS thrift method recv_get_table_objects_by_name exception list is broken,Resolved,Major,2.3.9
HIVE-26415,Add epoch time in the information_schema.scheduled_executions view,Resolved,Major,4.0.0
HIVE-26396,The trunc function has a problem with precision interception and the result has many 0,Closed,Blocker,3.1.3
HIVE-26374,Query based compaction fails for tables with CDT and columns with Reserved Keywords,Closed,Major,"3.1.3, 4.0.0-alpha-1"
HIVE-26339,Vectorized LIKE UDF optimization,Resolved,Major,4.0.0
HIVE-26268,Upgrade snappy-java to 1.1.8.4,Closed,Trivial,4.0.0
HIVE-26232,AcidUtils getLogicalLength shouldn't be called for external tables,Resolved,Minor,3.1.2
HIVE-26209,HIVE CBO. Wrong results with Hive SQL query with MULTIPLE IN conditions in where clause if CBO enabled,Resolved,Critical,2.3.6
HIVE-26197,Hive - Upgrade Ant to 1.10.11 due to CVE-2021-36373 and CVE-2021-36374,Closed,Major,"3.1.3, 4.0.0, 4.0.0-alpha-1"
HIVE-26184,COLLECT_SET with GROUP BY is very slow when some keys are highly skewed,Closed,Major,"2.3.8, 3.1.3"
HIVE-26158,TRANSLATED_TO_EXTERNAL partition tables cannot query partition data after rename table,Closed,Major,"4.0.0, 4.0.0-alpha-1, 4.0.0-alpha-2"
HIVE-26114,Fix jdbc connection hiveserver2 using dfs command with prefix space will cause exception,Closed,Major,"2.3.8, 3.1.2"
HIVE-26036,NPE caused by getMTable() in ObjectStore,Closed,Minor,"3.1.2, 4.0.0"
HIVE-26018,The result of UNIQUEJOIN on Hive on Tez is inconsistent with that of MR,Resolved,Major,"3.1.0, 4.0.0"
HIVE-26017,Insert with partition value containing colon and space is creating partition having wrong value,Resolved,Major,4.0.0
HIVE-25991,Backport HIVE-25522 to branch-3,Resolved,Major,3.1.2
HIVE-25986,Statement id is incorrect in case of load in path to MM table,Closed,Major,4.0.0
HIVE-25978,Attributes not removed from org.apache.hadoop.hive.common.metrics.MetricsMBeanImpl ,Resolved,Minor,4.0.0
HIVE-25973,JsonReporter and JsonFileMetricsReporter writing the same file,Closed,Major,4.0.0
HIVE-25968,cast(double as bigint) may cause an error return,Resolved,Major,2.1.1
HIVE-25964,Create iceberg table  with ranger authorization failed with storage URI NullPointerException ,Closed,Major,4.0.0
HIVE-25957,Fix password based authentication with SAML enabled,Closed,Major,4.0.0
HIVE-25926,Move all logging from AcidMetricService to AcidMetricLogger,Closed,Minor,4.0.0
HIVE-25924,CLONE - CLONE - SchemaTool error: Unknown version specified for initialization: 3.1.0,Resolved,Critical,3.1.1
HIVE-25923,CLONE - SchemaTool error: Unknown version specified for initialization: 3.1.0,Resolved,Critical,3.1.1
HIVE-25917,Use default value for 'hive.default.nulls.last' when no config is available instead of false,Closed,Trivial,4.0.0
HIVE-25914,Cleaner updates Initiator cycle metric,Closed,Minor,4.0.0
HIVE-25912,Drop external table at root of s3 bucket throws NPE,Closed,Major,"3.1.2, 4.0.0"
HIVE-25907,IOW Directory queries fails to write data to final path when query result cache is enabled,Closed,Major,4.0.0
HIVE-25905,ORDER BY colName DESC does not honour 'hive.default.nulls.last' property in absence of NULLS_LAST/FIRST,Resolved,Major,4.0.0
HIVE-25876,Update log4j2 version to 2.17.1,Resolved,Blocker,3.1.2
HIVE-25853,Security Vulnerability CVE-2021-44832 log4j2 need upgrade to 2.17.1,Closed,Major,4.0.0
HIVE-25844,Exception deserialization error-s may cause beeline to terminate immediately,Closed,Major,3.1.2
HIVE-25839,Upgrade Log4j2 to 2.17.1 due to CVE-2021-44832,Closed,Major,3.1.2
HIVE-25825,upgrade log4j 2.16.0 to 2.17.0+ due to CVE-2021-45105,Closed,Major,4.0.0
HIVE-25811,Fix TestMiniLlapLocalCliDriver#testCliDriver[sysdb] caused by the HIVE-25737 ,Closed,Major,4.0.0
HIVE-25803,URL Mapping appends default Fs scheme even for LOCAL DIRECTORY ops,Closed,Critical,4.0.0
HIVE-25802,Log4j2 Vulnerability in Hive Storage API,Closed,Major,4.0.0
HIVE-25797,log4j2 has a critical RCE vulnerability CVE-2021-44228,Resolved,Major,3.1.2
HIVE-25795,[CVE-2021-44228] Update log4j2 version to 2.15.0,Closed,Critical,"3.1.2, 4.0.0"
HIVE-25777,ACID: Pick the compactor transaction over insert dir,Resolved,Major,"3.1.2, 4.0.0"
HIVE-25774,Add ASF license for newly created files in standalone-metastore,Closed,Major,4.0.0
HIVE-25766,java.util.NoSuchElementException in HiveFilterProjectTransposeRule if predicate has no InputRef,Closed,Major,4.0.0
HIVE-25758,OOM due to recursive application of CBO rules,Closed,Major,4.0.0
HIVE-25757,Use cached database type to choose metastore backend queries,Closed,Major,4.0.0
HIVE-25749,Check if RelMetadataQuery.collations() returns null to avoid NPE,Closed,Major,4.0.0
HIVE-25746,Compaction Failure Counter counted incorrectly,Closed,Minor,4.0.0
HIVE-25734,Wrongly-typed constant in case expression leads to incorrect empty result,Closed,Major,4.0.0
HIVE-25730,Hive column update performance too low when table partition over 700,Resolved,Critical,3.1.1
HIVE-25716,Fix flaky test TestCompactionMetrics#testOldestReadyForCleaningAge,Closed,Major,4.0.0
HIVE-25675,Intermittent PSQLException when trying to connect to Postgres in tests,Closed,Major,4.0.0
HIVE-25672,Hive isn't purging older compaction entries from show compaction command,Resolved,Minor,3.1.1
HIVE-25662,"JDBC driver returns "" java.lang.IllegalArgumentException: Unrecognized type name: timestamp with local time zone('Europe/Madrid') in the table's introspection",Resolved,Blocker,"3.0.0, 3.1.1, 3.1.2"
HIVE-25659,Metastore direct sql queries with IN/(NOT IN) should be split based on max parameters allowed by SQL DB,Closed,Minor,"3.1.0, 4.0.0"
HIVE-25646,Thrift metastore URI reverse resolution could fail in some environments,Closed,Major,"3.1.2, 4.0.0"
HIVE-25626,CBO fails when JDBC table specifies password via dbcp.password.uri,Closed,Major,"3.1.2, 4.0.0"
HIVE-25621,Alter table partition compact/concatenate commands should send HivePrivilegeObjects for Authz,Closed,Major,4.0.0
HIVE-25605,JdbcStorageHandler Create table fails when hive.sql.schema is specified and is not the default one,Resolved,Major,4.0.0
