Feature,Importance
added_lines,0.05558761526150199
average_time_between_changes,0.046220326350185234
global_average_time_between_changes,0.0432682599794954
deleted_lines,0.035962508818083466
CountLineComment,0.03469141360566792
CountStmtDecl,0.03063869375221708
CountLineCodeDecl,0.029295147999609028
CountSemicolon,0.027899505602186847
comments_changed,0.027476274242943487
RatioCommentToCode,0.027233548491571183
CountLine,0.026985223209081616
global_developers,0.026885042265599218
comments_unchanged,0.02643572813188708
mean_expertise,0.026422305149607944
developers,0.026240741893605157
CountLineCode,0.02623860944038809
CountStmt,0.024949654704069502
CountStmtExe,0.024327504632172627
AvgCyclomatic_y,0.024256566241454582
CountLineCodeExe,0.023017172195846827
SumDeclMethod,0.02289556692570955
CountLineBlank,0.02218279826808739
commits,0.02214808174198446
SumCyclomatic,0.021924224578784863
MaxCyclomatic,0.020213401887295007
CountDeclInstanceMethod,0.020047167178542737
CountDeclMethodPublic,0.019821891582311457
CountDeclInstanceVariable,0.01980820673570145
AvgCountLine,0.01955845024175998
AvgCountLineCode,0.018530274150528245
CountDeclFunction,0.017913926749073453
CountDeclMethod,0.017559193492650893
CountDeclExecutableUnit,0.01714363103710612
CountDeclClassMethod,0.015210879110262861
CountDeclMethodPrivate,0.01452591396853234
CountDeclClassVariable,0.013779244921987403
AvgCountLineComment,0.012152681690891513
min_expertise,0.011606272464470239
CountDeclClass,0.011093284964015732
CountDeclMethodDefault,0.011090122829345616
MaxNesting,0.011012532460572932
AvgCyclomatic_x,0.010068855549442987
AvgCountLineBlank,0.007453538612548752
CountDeclMethodProtected,0.006117879883864086
bug_fix_commits,0.0015090358748962654
CountLinePreprocessor,0.0004313356898933063
CountStmtEmpty,0.00016584044014924658
CountLineInactive,3.925002416960568e-06
CountDeclInstanceVariablePrivate,0.0
CountDeclMethodAll,0.0
CountDeclFileHeader,0.0
CCViolDensityCode,0.0
CountDeclInstanceVariableProtected,0.0
CountDeclFileCode,0.0
CountDeclFile,0.0
CountDeclInstanceVariablePublic,0.0
CCViolDensityLine,0.0
CountCCViol,0.0
CountClassDerived,0.0
CountDeclMethodConst,0.0
CountClassCoupledModified,0.0
PercentLackOfCohesionModified,0.0
PercentLackOfCohesion,0.0
MaxInheritanceTree,0.0
CountDeclMethodFriend,0.0
Cyclomatic,0.0
CountClassBase,0.0
CountInput,0.0
CountClassCoupled,0.0
CountOutput,0.0
CountCCViolType,0.0
