file,added_lines,deleted_lines,commits,bug_fix_commits,developers,global_developers,average_time_between_changes,global_average_time_between_changes,mean_expertise,min_expertise,comments_changed,comments_unchanged
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,1235,277,126,1,32,41,144370.0,175278.6888888889,9.21875,1,89,37
ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveMetaStoreChecker.java,89,17,1,0,1,4,0.0,14686223.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/UnionOperator.java,13,5,4,0,4,7,4305793.0,3832341.769230769,2.5,1,2,2
ql/src/java/org/apache/hadoop/hive/ql/optimizer/LimitPushdownOptimizer.java,87,81,5,0,4,8,4086855.75,3207535.1818181816,1.75,1,3,2
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java,370,66,14,0,3,13,1288151.076923077,1411651.8717948718,6.666666666666667,3,11,3
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java,90,80,9,0,6,15,1572927.625,1386778.0263157894,2.6666666666666665,1,6,3
ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java,1022,84,21,0,8,17,846643.15,777321.7346938775,4.5,1,16,5
ql/src/java/org/apache/hadoop/hive/ql/exec/MoveTask.java,116,97,14,0,8,18,818727.3846153846,1448680.6315789474,3.125,1,10,4
llap-common/src/java/org/apache/hadoop/hive/llap/security/SecretManager.java,137,31,3,0,1,1,603157.0,603157.0,3.0,3,2,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,365,296,26,1,7,17,664367.88,772857.75,7.285714285714286,1,17,9
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFUtils.java,41,11,1,0,1,6,0.0,4133279.9166666665,5.0,5,1,0
serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/HiveDecimalUtils.java,2,2,1,0,1,5,0.0,8759054.5,3.0,3,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/Registry.java,547,233,9,0,4,12,1439758.375,2300061.6666666665,2.25,1,4,5
ql/src/java/org/apache/hadoop/hive/ql/udf/UDFSign.java,30,15,3,0,3,3,3124579.5,3124579.5,1.0,1,2,1
ql/src/test/org/apache/hadoop/hive/ql/exec/TestFunctionRegistry.java,61,53,5,0,4,6,1562289.75,6529504.625,1.5,1,4,1
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFOPMinus.java,6,6,3,0,3,6,3124579.5,7506075.833333333,1.0,1,2,1
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFOPMultiply.java,6,6,3,0,3,4,3124579.5,15012151.666666666,1.0,1,2,1
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFOPPlus.java,6,6,3,0,3,6,3124579.5,7506075.833333333,1.0,1,2,1
serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/TypeInfoUtils.java,21,24,4,0,4,13,2083053.0,2582665.4,1.5,1,2,2
orc/src/java/org/apache/orc/OrcConf.java,2,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRecordUpdater.java,38,77,3,0,3,11,8155237.5,2009791.3333333333,3.0,1,3,0
ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestOrcRecordUpdater.java,7,1,2,0,2,8,1713139.0,4098350.1428571427,1.0,1,2,0
ql/src/java/org/apache/hadoop/hive/ql/parse/PTFTranslator.java,37,22,4,0,2,10,3048146.6666666665,2285330.0,2.0,1,1,3
common/src/java/org/apache/hadoop/hive/common/StringableMap.java,80,0,1,0,1,1,0.0,0.0,1.0,1,1,0
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java,3138,1285,32,2,5,13,523230.93548387097,681606.7625,10.2,1,25,7
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java,386,59,10,0,4,4,1257863.4444444445,1257863.4444444445,2.5,1,7,3
ql/src/test/org/apache/hadoop/hive/ql/txn/compactor/TestWorker.java,38,20,6,0,4,11,2397965.0,2170998.7083333335,3.25,2,6,0
common/src/java/org/apache/hive/common/util/DateParser.java,31,0,1,0,1,1,0.0,0.0,1.0,1,1,0
common/src/test/org/apache/hive/common/util/TestDateParser.java,56,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastStringToDate.java,10,10,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDateAddColCol.java,39,57,5,1,3,3,2482953.5,2482953.5,1.6666666666666667,1,3,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDateAddColScalar.java,32,57,5,1,3,4,2482953.5,3175870.2,1.6666666666666667,1,3,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDateAddScalarCol.java,26,34,2,0,2,3,9931814.0,7939675.5,1.0,1,2,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDateLong.java,6,39,2,0,2,2,9931814.0,9931814.0,1.0,1,2,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDateString.java,16,31,1,0,1,4,0.0,6310255.333333333,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDateTimestamp.java,82,38,5,1,3,3,2482953.5,2482953.5,1.6666666666666667,1,3,2
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFDate.java,17,15,3,0,2,4,6511622.0,10122737.0,1.5,1,3,0
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFDateAdd.java,15,17,1,0,1,4,0.0,10733502.75,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFDateSub.java,3,124,1,0,1,4,0.0,10733502.75,1.0,1,1,0
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorDateExpressions.java,19,19,4,0,2,3,5095560.666666667,4613548.5,2.0,1,2,2
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorGenericDateExpressions.java,55,101,2,0,2,2,9931814.0,9931814.0,1.0,1,2,0
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFDate.java,30,7,2,0,1,1,13023244.0,13023244.0,2.0,2,2,0
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFDateAdd.java,5,5,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFDateSub.java,5,5,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/parse/BaseSemanticAnalyzer.java,518,68,16,0,7,17,810297.4,1512140.6944444445,3.142857142857143,1,11,5
ql/src/java/org/apache/hadoop/hive/ql/udf/UDFDayOfMonth.java,4,3,2,0,2,5,10280750.0,7213824.5,2.0,1,2,0
ql/src/java/org/apache/hadoop/hive/ql/udf/UDFMonth.java,20,19,4,0,3,6,5211872.666666667,5410368.375,2.0,1,2,2
ql/src/java/org/apache/hadoop/hive/ql/udf/UDFWeekOfYear.java,4,3,2,0,2,3,10280750.0,8158272.5,1.0,1,2,0
ql/src/java/org/apache/hadoop/hive/ql/udf/UDFYear.java,20,19,4,0,3,6,5211872.666666667,5410368.375,2.0,1,2,2
serde/src/test/org/apache/hadoop/hive/serde2/io/TestDateWritable.java,43,25,1,0,1,2,0.0,26006246.5,2.0,2,1,0
service/src/java/org/apache/hive/service/cli/ColumnValue.java,33,35,7,0,3,7,2185632.3333333335,2457728.8666666667,3.0,2,6,1
storage-api/src/java/org/apache/hadoop/hive/serde2/io/DateWritable.java,57,11,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/HiveLockObject.java,3,5,1,0,1,8,0.0,2771983.909090909,2.0,2,0,1
beeline/src/java/org/apache/hive/beeline/HiveSchemaTool.java,41,12,2,1,2,9,12374762.0,2876841.529411765,3.0,2,1,1
hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/AppConfig.java,3,0,2,0,2,14,11134224.0,2572656.5789473685,1.0,1,2,0
hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/Main.java,42,2,2,0,2,4,11134224.0,6367550.666666667,1.0,1,2,0
itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestXSRFFilter.java,149,0,1,0,1,1,0.0,0.0,1.0,1,1,0
jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,284,250,14,0,8,24,1156010.6923076923,959915.6111111111,3.125,1,10,4
jdbc/src/java/org/apache/hive/jdbc/XsrfHttpRequestInterceptor.java,56,0,1,0,1,1,0.0,0.0,1.0,1,1,0
service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpCLIService.java,18,6,6,0,4,9,2587348.8,3455696.2,1.75,1,5,1
service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpServlet.java,100,15,8,0,4,12,1848106.2857142857,2356156.5,2.5,1,6,2
shims/common/src/main/java/org/apache/hadoop/hive/shims/Utils.java,126,5,2,0,2,5,9919633.0,11158965.25,1.0,1,1,1
ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,1377,871,54,0,18,31,295874.0566037736,435776.4112903226,5.333333333333333,1,36,18
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveRelBuilder.java,94,0,1,0,1,1,0.0,0.0,1.0,1,1,0
