Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumDeclMethod,Bogue
File,AMReporter.java,11.0,0.0,11.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,32.0,0.0,0.0,0.0,32.0,32.0,29.0,0.0,0.0,0.0,32.0,0.0,0.0,8.0,0.0,0.0,3.0,21.0,0.0,475.0,56.0,379.0,145.0,197.0,40.0,0.0,0.0,0.0,185.0,249.0,128.0,0.0,143.0,0.0,8.0,0.0,4.0,0.0,0.0,"0,11",58.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,AMReporter,2.0,19.0,0
File,ASTBuilder.java,14.0,0.0,13.0,1.0,4.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,18.0,0.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,308.0,30.0,252.0,59.0,179.0,26.0,0.0,0.0,0.0,123.0,153.0,55.0,0.0,112.0,0.0,42.0,0.0,2.0,0.0,0.0,"0,10",66.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,ASTBuilder,3.6666666666666665,0.0,1
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,34.0,0.0,0.0,0.0,34.0,32.0,24.0,0.0,0.0,0.0,34.0,0.0,0.0,9.0,0.0,8.0,2.0,15.0,0.0,775.0,99.0,591.0,222.0,357.0,85.0,0.0,0.0,0.0,314.0,459.0,223.0,0.0,303.0,0.0,15.0,0.0,5.0,0.0,0.0,"0,14",124.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,ASTConverter,4.777777777777779,25.0,0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49.0,8.0,21.0,18.0,6.0,20.0,0.0,0.0,0.0,12.0,18.0,13.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,95",5.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,ASTErrorNode,1.0,0.0,0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,26.0,26.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,350.0,53.0,240.0,75.0,133.0,57.0,0.0,0.0,0.0,123.0,178.0,67.0,0.0,129.0,0.0,11.0,0.0,4.0,0.0,0.0,"0,24",58.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,ASTNode,2.230769230769231,0.0,1
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,95.0,9.0,31.0,14.0,10.0,55.0,0.0,0.0,0.0,16.0,23.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",6.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,ASTNodeOrigin,1.0,0.0,0
File,ATSHook.java,15.0,1.0,14.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,15.0,0.0,0.0,0.0,7.0,15.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,227.0,27.0,178.0,69.0,118.0,36.0,0.0,0.0,0.0,110.0,129.0,63.0,0.0,90.0,0.0,8.0,0.0,2.0,0.0,0.0,"0,20",19.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,ATSHook,1.8,8.0,1
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,10.0,5.0,3.0,18.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,80",2.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,AbortDroneException,1.0,0.0,0
File,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,38.0,0.0,0.0,0.0,36.0,35.0,5.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,2.0,0.0,35.0,0.0,387.0,64.0,297.0,104.0,144.0,29.0,0.0,0.0,0.0,139.0,207.0,91.0,0.0,124.0,0.0,5.0,0.0,3.0,0.0,0.0,"0,10",61.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,AbortTxnRequest,1.7058823529411764,25.0,0
File,AbortTxnsDesc.java,5.0,0.0,3.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,13.0,8.0,3.0,23.0,0.0,0.0,0.0,7.0,10.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",2.0,rel/release-2.1.0,dcb8e395666a8792bfb62dd36a642443a6476ef3,AbortTxnsDesc,1.0,0.0,0
