Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumDeclMethod,Bogue
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,10.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,167.0,22.0,125.0,38.0,70.0,20.0,0.0,0.0,0.0,57.0,89.0,37.0,0.0,58.0,0.0,11.0,0.0,3.0,0.0,0.0,"0,16",29.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,ACLConfigurationParser,2.9,0.0,0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,34.0,0.0,0.0,0.0,34.0,34.0,31.0,0.0,0.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,3.0,21.0,0.0,525.0,60.0,412.0,152.0,213.0,53.0,0.0,0.0,0.0,195.0,268.0,135.0,0.0,155.0,0.0,7.0,0.0,4.0,0.0,0.0,"0,13",65.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,AMReporter,2.571428571428572,20.0,1
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,18.0,0.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,351.0,32.0,292.0,64.0,214.0,27.0,0.0,0.0,0.0,133.0,165.0,60.0,0.0,120.0,0.0,64.0,0.0,2.0,0.0,0.0,"0,09",90.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,ASTBuilder,5.0,0.0,1
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,38.0,0.0,0.0,0.0,38.0,36.0,24.0,0.0,0.0,0.0,38.0,0.0,0.0,11.0,0.0,9.0,2.0,16.0,0.0,870.0,99.0,673.0,242.0,412.0,98.0,0.0,0.0,0.0,354.0,524.0,249.0,0.0,345.0,0.0,21.0,0.0,5.0,0.0,0.0,"0,15",144.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,ASTConverter,5.4,28.0,0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49.0,8.0,21.0,18.0,6.0,20.0,0.0,0.0,0.0,12.0,18.0,13.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,95",5.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,ASTErrorNode,1.0,0.0,0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,26.0,26.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,349.0,52.0,240.0,75.0,133.0,57.0,0.0,0.0,0.0,123.0,178.0,67.0,0.0,129.0,0.0,11.0,0.0,4.0,0.0,0.0,"0,24",58.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,ASTNode,2.230769230769231,0.0,0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,95.0,9.0,31.0,14.0,10.0,55.0,0.0,0.0,0.0,16.0,23.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",6.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,ASTNodeOrigin,1.0,0.0,0
File,ATSHook.java,20.0,1.0,17.0,2.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,11.0,25.0,0.0,0.0,0.0,15.0,24.0,28.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,4.0,2.0,16.0,0.0,488.0,46.0,397.0,153.0,269.0,54.0,0.0,0.0,0.0,226.0,287.0,138.0,0.0,201.0,0.0,10.0,0.0,4.0,0.0,0.0,"0,14",55.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,ATSHook,3.5454545454545454,10.0,1
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,10.0,5.0,3.0,18.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,80",2.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,AbortDroneException,1.0,0.0,0
File,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,38.0,0.0,0.0,0.0,36.0,35.0,5.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,2.0,0.0,35.0,0.0,387.0,64.0,297.0,104.0,144.0,29.0,0.0,0.0,0.0,139.0,207.0,91.0,0.0,124.0,0.0,5.0,0.0,3.0,0.0,0.0,"0,10",61.0,rel/release-2.2.0,1cd9df74f6b388e5e27268069ab4f850c8e019b8,AbortTxnRequest,1.7058823529411764,25.0,0
