Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumDeclMethod,Bogue
File,TestDateTimeMath.java,35.0,3.0,31.0,1.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,12.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,464.0,50.0,387.0,78.0,320.0,27.0,0.0,0.0,0.0,232.0,264.0,65.0,0.0,216.0,0.0,6.0,0.0,1.0,0.0,0.0,"0,07",40.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDateTimeMath,3.333333333333333,0.0,0
File,TestDateWritable.java,15.0,1.0,13.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,11.0,0.0,0.0,0.0,11.0,9.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,237.0,30.0,181.0,95.0,105.0,26.0,0.0,0.0,0.0,124.0,149.0,81.0,0.0,107.0,0.0,4.0,0.0,3.0,0.0,0.0,"0,14",19.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDateWritable,1.625,3.0,0
File,TestDbNotificationListener.java,28.0,2.0,22.0,3.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,50.0,0.0,0.0,0.0,50.0,46.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,47.0,0.0,1556.0,163.0,1210.0,504.0,928.0,187.0,0.0,0.0,0.0,899.0,976.0,426.0,0.0,750.0,0.0,3.0,0.0,2.0,0.0,0.0,"0,15",73.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDbNotificationListener,1.6666666666666667,18.0,1
File,TestDbTxnManager.java,14.0,0.0,13.0,1.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,34.0,0.0,0.0,0.0,34.0,34.0,10.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,8.0,0.0,25.0,0.0,572.0,48.0,482.0,179.0,330.0,49.0,0.0,0.0,0.0,336.0,387.0,155.0,0.0,303.0,0.0,4.0,0.0,2.0,0.0,0.0,"0,10",49.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDbTxnManager,1.5,4.0,0
File,TestDbTxnManager2.java,40.0,2.0,34.0,5.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,50.0,48.0,4.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,0.0,2100.0,144.0,1742.0,285.0,1535.0,289.0,0.0,0.0,0.0,1287.0,1358.0,223.0,0.0,1259.0,0.0,9.0,0.0,2.0,0.0,0.0,"0,17",76.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDbTxnManager2,1.52,0.0,1
File,TestDeadline.java,27.0,2.0,23.0,2.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,127.0,14.0,89.0,19.0,60.0,24.0,0.0,0.0,0.0,49.0,64.0,19.0,0.0,47.0,0.0,7.0,0.0,3.0,0.0,0.0,"0,27",14.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDeadline,1.75,0.0,0
File,TestDebugDisplay.java,35.0,3.0,32.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,7.0,36.0,13.0,27.0,20.0,0.0,0.0,0.0,29.0,32.0,13.0,0.0,19.0,0.0,2.0,0.0,1.0,0.0,0.0,"0,56",2.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDebugDisplay,2.0,0.0,0
File,TestDecimal128.java,21.0,3.0,16.0,2.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,37.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,9.0,0.0,28.0,0.0,872.0,164.0,619.0,246.0,469.0,103.0,0.0,0.0,0.0,470.0,529.0,226.0,0.0,425.0,0.0,7.0,0.0,2.0,0.0,0.0,"0,17",61.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDecimal128,1.648648648648649,0.0,0
File,TestDecimalUtil.java,28.0,4.0,24.0,1.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,235.0,36.0,174.0,88.0,145.0,25.0,0.0,0.0,0.0,151.0,159.0,81.0,0.0,145.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,14",7.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDecimalUtil,1.0,0.0,0
File,TestDeepParquetHiveMapInspector.java,8.0,1.0,8.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,88.0,15.0,60.0,32.0,28.0,13.0,0.0,0.0,0.0,38.0,45.0,25.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,22",6.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDeepParquetHiveMapInspector,1.0,0.0,0
File,TestDefaultAccumuloRowIdFactory.java,26.0,5.0,20.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,126.0,23.0,83.0,51.0,52.0,20.0,0.0,0.0,0.0,69.0,73.0,48.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,24",3.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDefaultAccumuloRowIdFactory,1.0,0.0,0
File,TestDefaultHCatRecord.java,19.0,3.0,15.0,1.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,312.0,48.0,230.0,90.0,170.0,37.0,0.0,0.0,0.0,197.0,213.0,89.0,0.0,169.0,0.0,3.0,0.0,1.0,0.0,0.0,"0,16",15.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDefaultHCatRecord,1.1538461538461535,0.0,0
File,TestDelimitedInputWriter.java,42.0,5.0,35.0,7.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,9.0,43.0,18.0,20.0,24.0,0.0,0.0,0.0,22.0,26.0,17.0,0.0,13.0,0.0,3.0,0.0,1.0,0.0,0.0,"0,56",3.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDelimitedInputWriter,3.0,0.0,0
File,TestDesc.java,8.0,0.0,8.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,154.0,16.0,116.0,42.0,73.0,23.0,0.0,0.0,0.0,81.0,95.0,38.0,0.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,20",13.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDesc,1.0,0.0,0
File,TestDoubleCompare.java,11.0,2.0,9.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,153.0,35.0,102.0,47.0,59.0,16.0,0.0,0.0,0.0,64.0,77.0,38.0,0.0,53.0,0.0,2.0,0.0,1.0,0.0,0.0,"0,16",12.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDoubleCompare,1.2,0.0,0
File,TestDropMacroDesc.java,5.0,0.0,5.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,3.0,16.0,11.0,3.0,17.0,0.0,0.0,0.0,8.0,11.0,9.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,06",2.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDropMacroDesc,1.0,0.0,0
File,TestDruidRecordWriter.java,28.0,3.0,25.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,239.0,26.0,195.0,103.0,120.0,19.0,0.0,0.0,0.0,101.0,111.0,90.0,0.0,44.0,0.0,3.0,0.0,1.0,0.0,0.0,"0,10",8.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDruidRecordWriter,2.0,0.0,0
File,TestDruidSerDe.java,29.0,1.0,23.0,5.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,16.0,8.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,745.0,33.0,638.0,149.0,514.0,75.0,0.0,0.0,0.0,177.0,194.0,121.0,0.0,97.0,0.0,10.0,0.0,2.0,0.0,0.0,"0,12",18.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDruidSerDe,2.6666666666666665,0.0,0
File,TestDruidStorageHandler.java,25.0,1.0,23.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,224.0,23.0,182.0,87.0,126.0,19.0,0.0,0.0,0.0,99.0,107.0,67.0,0.0,67.0,0.0,1.0,0.0,1.0,0.0,0.0,"0,10",6.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDruidStorageHandler,1.0,0.0,0
File,TestDummy.java,4.0,1.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,7.0,7.0,5.0,0.0,17.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"2,43",1.0,rel/release-2.3.0,a7419872810cd894a88f7cb938acaa1366eac3fa,TestDummy,1.0,0.0,0
