Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic_x,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumCyclomatic_y,SumDeclMethod,Bogue
File,VectorMapJoinGenerateResultOperator.java,29.0,4.0,19.0,5.0,4.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,26.0,0.0,0.0,0.0,26.0,24.0,6.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,898.0,151.0,553.0,165.0,357.0,196.0,0.0,0.0,0.0,301.0,410.0,154.0,0.0,282.0,0.0,17.0,0.0,4.0,0.0,0.0,"0,35",107.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinGenerateResultOperator,4.115384615384615,107.0,0.0,1
File,VectorMapJoinHashMap.java,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,4.0,3.0,0.0,26.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,50",0.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashMap,0.0,0.0,0.0,1
File,VectorMapJoinHashMapResult.java,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,63.0,10.0,11.0,10.0,0.0,42.0,0.0,0.0,0.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,82",0.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashMapResult,0.0,0.0,0.0,1
File,VectorMapJoinHashMultiSet.java,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,4.0,3.0,0.0,23.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,75",0.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashMultiSet,0.0,0.0,0.0,1
File,VectorMapJoinHashMultiSetResult.java,3.0,0.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,4.0,7.0,4.0,1.0,23.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"3,29",1.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashMultiSetResult,1.0,1.0,0.0,1
File,VectorMapJoinHashSet.java,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,4.0,3.0,0.0,26.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,50",0.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashSet,0.0,0.0,0.0,1
File,VectorMapJoinHashSetResult.java,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,3.0,2.0,0.0,21.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7,00",0.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashSetResult,0.0,0.0,0.0,1
File,VectorMapJoinHashTable.java,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,11.0,10.0,0.0,30.0,0.0,0.0,0.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,73",0.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashTable,0.0,0.0,0.0,1
File,VectorMapJoinHashTableResult.java,6.0,0.0,4.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,8.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,89.0,14.0,37.0,17.0,12.0,38.0,0.0,0.0,0.0,18.0,27.0,16.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,03",8.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinHashTableResult,1.0,8.0,0.0,1
File,VectorMapJoinInfo.java,4.0,0.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,25.0,25.0,12.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,172.0,38.0,108.0,46.0,37.0,26.0,0.0,0.0,0.0,55.0,81.0,45.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,24",25.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInfo,1.0,25.0,0.0,1
