Feature,Importance
mean_expertise,0.06506680686402129
deleted_lines,0.06203140722381212
added_lines,0.05954318780936842
global_developers,0.053998124251177636
min_expertise,0.05209553746781611
developers,0.04711494870653061
commits,0.03823741908826032
global_average_time_between_changes,0.03769115471063568
comments_changed,0.03489872819793291
CountLineComment,0.02519117191848506
SumDeclMethod,0.02423943177007589
CountDeclMethodDefault,0.02343425166800777
average_time_between_changes,0.022560344715383436
CountSemicolon,0.02161377694886713
RatioCommentToCode,0.021532142071719787
CountLineCodeDecl,0.02142546801005388
CountLineCode,0.020912859892045003
CountStmtDecl,0.020787748238820153
AvgCyclomatic_y,0.020632919155021266
CountLineCodeExe,0.0201881207914816
CountLine,0.019653513662266312
CountStmtExe,0.01948248878160217
CountStmt,0.018541455572682795
CountLineBlank,0.017113111609066596
SumCyclomatic,0.01694999903995506
AvgCountLine,0.01564622935758515
AvgCountLineCode,0.015272165015164051
CountDeclMethod,0.01471116515925533
CountDeclInstanceMethod,0.014485451153355589
CountDeclInstanceVariable,0.014281264541179799
CountDeclMethodPublic,0.014210053092715141
CountDeclExecutableUnit,0.013181410917933073
CountDeclFunction,0.01303806835408147
MaxCyclomatic,0.01245944150896258
CountDeclClassMethod,0.011126481919210538
CountDeclClassVariable,0.01012701357952572
CountDeclMethodPrivate,0.009712186739692192
MaxNesting,0.00867994299384313
AvgCountLineComment,0.008018532093498832
CountDeclClass,0.00785107318011796
AvgCountLineBlank,0.00779142533099035
comments_unchanged,0.007047263172436088
AvgCyclomatic_x,0.006664964840529706
CountDeclMethodProtected,0.006389535134722243
bug_fix_commits,0.00403239731579832
CountLinePreprocessor,0.0002742292021075316
CountStmtEmpty,6.358123186151812e-05
CountLineInactive,6.000344640084219e-09
CountDeclFileHeader,0.0
CountClassCoupledModified,0.0
CountDeclMethodConst,0.0
CountInput,0.0
CountDeclInstanceVariableProtected,0.0
CCViolDensityCode,0.0
CCViolDensityLine,0.0
CountCCViol,0.0
CountCCViolType,0.0
CountClassBase,0.0
CountClassCoupled,0.0
CountDeclInstanceVariablePrivate,0.0
CountClassDerived,0.0
CountDeclFileCode,0.0
CountDeclMethodFriend,0.0
CountDeclInstanceVariablePublic,0.0
PercentLackOfCohesionModified,0.0
PercentLackOfCohesion,0.0
CountOutput,0.0
Cyclomatic,0.0
CountDeclMethodAll,0.0
CountDeclFile,0.0
MaxInheritanceTree,0.0
