Feature,Importance
global_developers,0.06331614169214708
CountLineCodeDecl,0.06078843620544773
CountStmtDecl,0.05606523479509273
CountSemicolon,0.04059505773689818
CountLineBlank,0.038162019032743244
CountLineComment,0.03790240786416192
AvgCountLineComment,0.03623384418699357
CountStmt,0.03499777564291624
CountLine,0.03321659140472244
CountLineCodeExe,0.030725237034030437
added_lines,0.030692834277921074
CountLineCode,0.02945575815699577
CountDeclMethod,0.027584592646750554
CountStmtExe,0.027164419270640155
CountDeclInstanceMethod,0.027091150924311823
CountDeclMethodPublic,0.025009699576248455
RatioCommentToCode,0.024670948443478065
commits,0.022796246197170904
CountDeclClass,0.022062668887934855
CountDeclClassVariable,0.021854170873756285
comments_changed,0.02067991150879511
CountDeclFunction,0.018274431781960046
AvgCountLine,0.018244603706311167
MaxNesting,0.017719516048790896
AvgCountLineCode,0.016745691259063653
AvgCyclomatic_y,0.01669615587929813
deleted_lines,0.016673603627773977
CountDeclInstanceVariable,0.016335664802200698
CountDeclMethodProtected,0.015016025655840287
developers,0.013692881357414973
SumCyclomatic,0.013136860853443816
CountDeclExecutableUnit,0.013127972311109836
MaxCyclomatic,0.012661346700112751
global_average_time_between_changes,0.012234414742426177
CountDeclClassMethod,0.0120159547719943
mean_expertise,0.011841349025997337
average_time_between_changes,0.011482585411696932
CountDeclMethodPrivate,0.010134949047092142
AvgCountLineBlank,0.008569135724979781
CountDeclMethodDefault,0.008545601250415662
SumDeclMethod,0.00806404544116438
comments_unchanged,0.007222701408592065
AvgCyclomatic_x,0.006328678467014261
min_expertise,0.003272696384773665
bug_fix_commits,0.0008174472578838668
CountLinePreprocessor,6.949240530917857e-05
CountStmtEmpty,1.1026513001218353e-05
CountLineInactive,2.1805182320406386e-08
CountDeclInstanceVariableProtected,0.0
CountClassDerived,0.0
CountDeclInstanceVariablePublic,0.0
CountDeclMethodAll,0.0
CountDeclMethodConst,0.0
CountDeclMethodFriend,0.0
CountDeclFileHeader,0.0
CountInput,0.0
CountDeclFileCode,0.0
CountDeclFile,0.0
CCViolDensityCode,0.0
CCViolDensityLine,0.0
CountCCViolType,0.0
CountOutput,0.0
CountClassCoupledModified,0.0
CountCCViol,0.0
PercentLackOfCohesionModified,0.0
PercentLackOfCohesion,0.0
CountClassCoupled,0.0
MaxInheritanceTree,0.0
CountClassBase,0.0
Cyclomatic,0.0
CountDeclInstanceVariablePrivate,0.0
