Feature,Importance
comments_changed,0.04832884420262015
SumDeclMethod,0.04027183702420115
global_developers,0.03872732546870351
average_time_between_changes,0.03616406907021835
global_average_time_between_changes,0.03612486197225329
developers,0.03544841176106756
CountStmtDecl,0.034958477109709216
commits,0.03321706195797099
added_lines,0.032829400472791405
CountLineCodeDecl,0.0319225176976299
CountLineComment,0.03142531143243514
RatioCommentToCode,0.027651066517074406
CountLine,0.027257295636642306
CountLineCode,0.02699531643277075
CountStmt,0.02608686132998466
deleted_lines,0.025808883123810827
CountSemicolon,0.025657338251441078
AvgCyclomatic_y,0.024650922099954273
comments_unchanged,0.023288161905837646
mean_expertise,0.022926454139115815
CountLineCodeExe,0.022859130044114273
CountLineBlank,0.022775556008209498
CountStmtExe,0.022300044790399105
SumCyclomatic,0.01937999144822982
AvgCountLine,0.019373816494313335
CountDeclClassMethod,0.018999338390311572
MaxCyclomatic,0.018795182207935024
CountDeclMethodPublic,0.017542574725605407
CountDeclInstanceMethod,0.01700072740965648
AvgCountLineCode,0.01695907145504048
CountDeclFunction,0.01583053406092299
CountDeclMethod,0.015206450619929902
CountDeclInstanceVariable,0.015183624278875525
CountDeclExecutableUnit,0.014850128097846367
AvgCountLineComment,0.014416494387089043
CountDeclMethodPrivate,0.013612493905934619
CountDeclClassVariable,0.012502211241053492
MaxNesting,0.012171916345174925
CountDeclClass,0.01113641175382389
CountDeclMethodProtected,0.009751685825618212
AvgCountLineBlank,0.009498907618536263
CountDeclMethodDefault,0.009368467104598396
AvgCyclomatic_x,0.008396316164110438
min_expertise,0.006942204175068402
bug_fix_commits,0.004849530701026413
CountLinePreprocessor,0.00046001940272441587
CountStmtEmpty,9.675373761922414e-05
CountClassDerived,0.0
CountCCViol,0.0
CCViolDensityCode,0.0
CountCCViolType,0.0
CountClassBase,0.0
CountClassCoupled,0.0
CCViolDensityLine,0.0
CountClassCoupledModified,0.0
CountDeclInstanceVariablePrivate,0.0
PercentLackOfCohesionModified,0.0
PercentLackOfCohesion,0.0
MaxInheritanceTree,0.0
Cyclomatic,0.0
CountDeclMethodAll,0.0
CountOutput,0.0
CountLineInactive,0.0
CountDeclInstanceVariableProtected,0.0
CountDeclFile,0.0
CountDeclFileCode,0.0
CountDeclInstanceVariablePublic,0.0
CountInput,0.0
CountDeclMethodFriend,0.0
CountDeclMethodConst,0.0
CountDeclFileHeader,0.0
