Feature,Importance
bug_fix_commits,0.2723728184846664
deleted_lines,0.04592409803237095
RatioCommentToCode,0.04545101998823533
added_lines,0.045042384997025134
average_time_between_changes,0.03674377066814132
global_average_time_between_changes,0.031090427226367814
CountLineComment,0.03026499860835223
global_developers,0.02768655268514158
CountLineCodeDecl,0.024842248139902066
CountLine,0.02477728734412453
CountSemicolon,0.024775574555430332
CountStmt,0.02414221708438529
CountStmtDecl,0.024044994580696314
CountLineCode,0.023862059918322236
developers,0.023233602570600656
CountLineBlank,0.02259421262565086
SumCyclomatic_y,0.0188232191148866
commits,0.015735838006265664
comments_changed,0.015533991164653274
CountDeclFunction,0.012634191105694302
AvgCyclomatic_y,0.012289254265557324
mean_expertise,0.012272016226906884
CountLineCodeExe,0.011407530563719598
min_expertise,0.010756891949200624
CountDeclMethod,0.010686931934288017
CountDeclMethodPublic,0.010663890934332461
SumCyclomatic_x,0.010026469121385611
CountStmtExe,0.009759610636837668
CountDeclInstanceMethod,0.009620209972404906
CountDeclExecutableUnit,0.009441549070297543
CountDeclClass,0.009338621079519233
AvgCountLineCode,0.009081959692932611
AvgCountLine,0.008838809008679921
MaxCyclomatic,0.008489145905319654
MaxNesting,0.008261459449977693
CountDeclInstanceVariable,0.008215731854920178
CountDeclClassVariable,0.007402865988389056
SumDeclMethod,0.007196935777696846
comments_unchanged,0.006673058554685938
AvgCyclomatic_x,0.00512260685702944
AvgCountLineComment,0.0049780599516942485
CountDeclMethodDefault,0.004925571672546344
CountDeclMethodPrivate,0.004195300902400882
CountDeclClassMethod,0.0040159267376367585
AvgCountLineBlank,0.0032125513384750814
CountDeclMethodProtected,0.002938057513376192
CountLinePreprocessor,0.0005984814936075749
CountStmtEmpty,1.0491401879159369e-05
CountLineInactive,4.503243389760021e-06
CCViolDensityCode,0.0
CCViolDensityLine,0.0
CountCCViol,0.0
CountCCViolType,0.0
CountClassBase,0.0
CountClassCoupled,0.0
CountClassCoupledModified,0.0
CountClassDerived,0.0
CountDeclMethodConst,0.0
CountDeclFile,0.0
CountDeclFileCode,0.0
CountDeclMethodAll,0.0
PercentLackOfCohesionModified,0.0
PercentLackOfCohesion,0.0
CountInput,0.0
MaxInheritanceTree,0.0
CountDeclMethodFriend,0.0
Cyclomatic,0.0
CountDeclInstanceVariablePrivate,0.0
CountDeclInstanceVariableProtected,0.0
CountDeclInstanceVariablePublic,0.0
CountOutput,0.0
CountDeclFileHeader,0.0
