Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,Version,CommitId,BaseFileName_x,AvgCyclomatic_y,SumDeclMethod,Bogue,file,added_lines,deleted_lines,commits,bug_fix_commits,developers,global_developers,average_time_between_changes,global_average_time_between_changes,mean_expertise,min_expertise,comments_changed,comments_unchanged,BaseFileName_y,Priority
File,TestHashPartition.java,4.0,0.0,4.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,3.0,9.0,7.0,1.0,17.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,89",1.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHashPartition,1.0,0.0,1.0,ql/src/test/org/apache/hadoop/hive/ql/exec/persistence/TestHashPartition.java,116.0,0.0,4.0,0.0,4.0,4.0,95673.33333333331,95673.33333333331,1.0,1.0,1.0,3.0,TestHashPartition.java,3
File,TestHeartbeatTimerTask.java,7.0,1.0,6.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,8.0,7.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,117.0,25.0,75.0,46.0,28.0,17.0,0.0,0.0,0.0,47.0,56.0,36.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,23",8.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHeartbeatTimerTask,1.0,0.0,0.0,hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/mutate/client/lock/TestHeartbeatTimerTask.java,517.0,0.0,6.0,0.0,4.0,4.0,2681225.0,2681225.0,1.5,1.0,2.0,4.0,TestHeartbeatTimerTask.java,0
File,TestHive.java,34.0,3.0,27.0,4.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,22.0,0.0,0.0,0.0,22.0,18.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,9.0,2.0,11.0,0.0,864.0,106.0,657.0,183.0,520.0,110.0,0.0,0.0,0.0,430.0,488.0,178.0,0.0,380.0,0.0,8.0,0.0,2.0,0.0,0.0,"0,17",56.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHive,2.5454545454545454,0.0,0.0,ql/src/test/org/apache/hadoop/hive/ql/metadata/TestHive.java,845.0,104.0,15.0,0.0,9.0,9.0,2554805.6428571427,2554805.6428571427,1.6666666666666667,1.0,9.0,6.0,TestHive.java,0
File,TestHiveAccumuloColumnMapping.java,10.0,1.0,8.0,1.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,4.0,14.0,10.0,5.0,20.0,0.0,0.0,0.0,8.0,10.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,43",1.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHiveAccumuloColumnMapping,1.0,0.0,0.0,,,,,,,,,,,,,,,0
File,TestHiveAccumuloHelper.java,19.0,3.0,15.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,140.0,24.0,92.0,50.0,57.0,24.0,0.0,0.0,0.0,61.0,69.0,45.0,0.0,39.0,0.0,2.0,0.0,1.0,0.0,0.0,"0,26",7.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHiveAccumuloHelper,1.4,0.0,0.0,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestHiveAccumuloHelper.java,442.0,2.0,6.0,0.0,6.0,6.0,1574744.8,1574744.8,1.0,1.0,3.0,3.0,TestHiveAccumuloHelper.java,0
File,TestHiveAccumuloTableInputFormat.java,33.0,4.0,28.0,2.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,19.0,0.0,0.0,0.0,19.0,19.0,7.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0,759.0,103.0,610.0,256.0,466.0,47.0,0.0,0.0,0.0,467.0,516.0,230.0,0.0,385.0,0.0,9.0,0.0,4.0,0.0,0.0,"0,08",41.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHiveAccumuloTableInputFormat,2.1578947368421053,0.0,0.0,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableInputFormat.java,36.0,20.0,6.0,0.0,5.0,5.0,4265871.0,4265871.0,1.2,1.0,3.0,3.0,TestHiveAccumuloTableInputFormat.java,0
File,TestHiveAccumuloTableOutputFormat.java,53.0,11.0,38.0,3.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,9.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,570.0,118.0,408.0,203.0,323.0,44.0,0.0,0.0,0.0,332.0,342.0,170.0,0.0,273.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,11",9.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHiveAccumuloTableOutputFormat,1.0,0.0,0.0,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableOutputFormat.java,97.0,19.0,8.0,0.0,7.0,7.0,2466592.285714286,2466592.285714286,1.1428571428571428,1.0,5.0,3.0,TestHiveAccumuloTableOutputFormat.java,0
File,TestHiveAccumuloTypes.java,355.0,67.0,261.0,29.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,826.0,140.0,612.0,282.0,514.0,76.0,0.0,0.0,0.0,500.0,507.0,234.0,0.0,395.0,0.0,2.0,0.0,1.0,0.0,0.0,"0,12",4.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHiveAccumuloTypes,2.0,0.0,0.0,,,,,,,,,,,,,,,0
File,TestHiveAuthFactory.java,13.0,1.0,10.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,88.0,12.0,51.0,25.0,28.0,25.0,0.0,0.0,0.0,35.0,40.0,21.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,49",4.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHiveAuthFactory,1.0,0.0,0.0,itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/TestHiveAuthFactory.java,208.0,10.0,4.0,0.0,3.0,3.0,1522782.666666667,1522782.666666667,1.3333333333333333,1.0,2.0,2.0,TestHiveAuthFactory.java,0
File,TestHiveAuthorizationTaskFactory.java,15.0,0.0,12.0,2.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,27.0,0.0,0.0,0.0,27.0,26.0,8.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,0.0,485.0,18.0,384.0,146.0,236.0,83.0,0.0,0.0,0.0,243.0,324.0,146.0,0.0,221.0,0.0,3.0,0.0,1.0,0.0,0.0,"0,22",55.0,release-2.0.0,ecccdda845a0a45de24463669847ddf37ad3c220,TestHiveAuthorizationTaskFactory,2.083333333333333,3.0,0.0,ql/src/test/org/apache/hadoop/hive/ql/parse/authorization/TestHiveAuthorizationTaskFactory.java,63.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,TestHiveAuthorizationTaskFactory.java,0
